epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.6663243770599365,0.7416865229606628,0.0010000000474974513,0.5721288323402405,0.6456115245819092,0.7407194972038269,0.5845978856086731
1,0.7323815822601318,0.8184941411018372,0.0010000000474974513,0.5094190835952759,0.6819794774055481,0.7700062394142151,0.5541682243347168
2,0.7479637265205383,0.8327450752258301,0.0010000000474974513,0.49471667408943176,0.638553261756897,0.739677369594574,0.6216932535171509
3,0.7508947253227234,0.83781498670578,0.0010000000474974513,0.48806068301200867,0.7650038003921509,0.8528175354003906,0.4747627377510071
4,0.753865659236908,0.8417401909828186,0.0010000000474974513,0.4832039177417755,0.7610559463500977,0.8598502278327942,0.4727950692176819
5,0.757554292678833,0.8453310132026672,0.0010000000474974513,0.47880226373672485,0.7083781957626343,0.8023562431335449,0.5227741599082947
6,0.7600964903831482,0.8475948572158813,0.0010000000474974513,0.47591960430145264,0.5461179614067078,0.7685990929603577,0.9882769584655762
7,0.7622498869895935,0.8505836725234985,0.0010000000474974513,0.47211137413978577,0.6627188324928284,0.8160068988800049,0.5452619791030884
8,0.7631869912147522,0.8521009683609009,0.0010000000474974513,0.4698089063167572,0.772221565246582,0.8626748323440552,0.4558727443218231
9,0.7663971781730652,0.8535895943641663,0.0010000000474974513,0.46794161200523376,0.7186266183853149,0.8229139447212219,0.5415361523628235
10,0.7656494379043579,0.8537881374359131,0.0010000000474974513,0.46763452887535095,0.6758384108543396,0.8578945398330688,0.642680287361145
11,0.766227662563324,0.8551100492477417,0.0010000000474974513,0.4657987356185913,0.727040708065033,0.8516039252281189,0.49321916699409485
12,0.768420934677124,0.8570114374160767,0.0010000000474974513,0.4630875885486603,0.6751206517219543,0.7790971994400024,0.545847475528717
13,0.7686801552772522,0.856979250907898,0.0010000000474974513,0.46317780017852783,0.7188259959220886,0.8305062651634216,0.5290601253509521
14,0.7699861526489258,0.8585030436515808,0.0010000000474974513,0.46082547307014465,0.6348845362663269,0.7801946401596069,0.7537112236022949
15,0.7719002366065979,0.8590558767318726,0.0010000000474974513,0.4605465829372406,0.7306695580482483,0.824815571308136,0.500712513923645
16,0.7744225263595581,0.8629889488220215,0.0005000000237487257,0.4546799063682556,0.6972524523735046,0.8260147571563721,0.5155050158500671
